"","day","hour","min_group","statn 1","statn 2","statn 3","statn 4","statn 5","statn 6","statn 7","statn 8","statn 9","statn 10","statn 11","statn 12","statn 13","statn 14","statn 15","statn 16","statn 17","statn 18","statn 19","statn 20","statn 21","statn 22","statn 23","statn 24","statn 25","statn 26","statn 27","statn 28","statn 29","statn 30","statn 31","statn 32","statn 33","statn 34","statn 35","statn 36","statn 37","statn 38","statn 39","statn 40","statn 41","statn 42","statn 43","statn 44","statn 45","statn 46","statn 47","statn 48","statn 49","statn 50","statn 51","statn 52","statn 53","statn 54","statn 55","statn 56","statn 57","statn 58","statn 59","statn 60","statn 61","statn 62","statn 63","statn 64","statn 65","statn 66","statn 67","statn 68","statn 69","statn 70","statn 71","statn 72","statn 73","statn 74","statn 75","statn 76","statn 77","statn 78","statn 79","statn 80","statn 81","statn 82","statn 83","statn 84","statn 85","statn 86","statn 87","statn 88","statn 89","statn 90","statn 91","statn 92","statn 93","statn 94","statn 95","statn 96","statn 97","statn 98","statn 99","statn 100","statn 101","statn 102","statn 103","statn 104","statn 105","statn 106","statn 107","statn 108","statn 109","statn 110","statn 111","statn 112","statn 113","statn 114","statn 115","statn 116","statn 117","statn 118","statn 119","statn 120","statn 121","statn 122","statn 123","statn 124","statn 125","statn 126","statn 127","statn 128","statn 129","statn 130","statn 131","statn 132","statn 133","statn 134","statn 135","statn 136","statn 137","statn 138","statn 139","statn 140","statn 141","statn 142"
"1","Thursday","10","1","17","19","26","17","28","17","19","20","17","8","15","15","24","27","24","25","26","21","11","16","11","20","21","28","18","25","28","19","14","22","20","15","24","18","15","26","26","18","12","23","12","21","26","27","26","18","29","5","18","19","25","21","28","29","19","17","20","18","19","28","25","19","27","16","18","13","24","19","18","17","15","12","22","19","18","17","14","22","20","22","23","19","16","25","31","18","23","6","25","21","24","18","15","27","12","24","17","25","23","14","17","19","12","26","13","23","28","28","22","33","20","9","17","15","24","22","21","21","22","19","19","25","22","22","26","21","13","27","30","23","27","13","23","19","22","20","16","13","18","20","22","16"
"2","Thursday","10","2","15","15","24","22","20","20","27","28","17","20","21","23","17","16","17","21","18","16","21","18","10","30","13","13","27","14","16","12","16","23","21","21","22","17","17","16","18","24","16","21","23","20","25","18","24","20","12","22","16","15","28","19","27","16","11","23","18","11","15","7","20","17","19","18","23","22","25","23","17","12","22","24","14","13","16","28","23","21","28","20","16","16","16","16","23","16","18","25","13","19","22","19","12","23","18","21","21","22","13","20","17","25","15","21","17","24","19","13","15","16","26","32","15","25","17","23","15","17","24","14","18","10","24","20","24","20","27","12","23","21","17","13","22","29","17","20","20","18","20","16","11","21"
"3","Thursday","10","3","18","30","15","18","18","9","10","13","18","17","21","23","29","20","17","7","17","19","25","26","18","8","19","24","21","21","20","22","10","17","23","23","20","26","23","22","26","22","14","23","20","17","16","26","16","19","19","14","23","26","15","19","16","11","15","16","18","19","20","19","14","25","17","18","15","12","10","26","17","16","31","20","19","14","16","21","19","14","15","26","13","27","17","15","18","13","16","26","12","16","21","19","17","24","10","14","14","29","22","26","26","25","14","30","15","18","29","20","24","10","18","13","26","19","20","14","20","24","23","21","27","13","16","24","25","11","33","23","11","23","23","16","22","22","26","15","15","16","27","12","21","19"
"4","Thursday","10","4","27","20","12","21","25","13","23","21","18","18","19","23","21","17","13","14","14","22","27","21","15","17","22","17","22","23","22","18","16","17","14","23","22","19","21","23","17","16","17","22","23","17","25","15","20","16","23","30","20","23","7","29","22","17","21","24","14","13","26","15","23","20","15","18","22","26","9","17","23","19","9","25","29","24","19","22","20","23","23","16","23","17","13","17","18","18","17","18","22","10","21","22","22","18","26","23","16","11","29","29","24","21","21","34","22","14","23","4","22","18","5","9","14","23","15","11","23","8","23","19","24","11","18","16","21","23","20","12","17","22","15","19","15","22","18","28","18","17","18","21","18","21"
"5","Thursday","10","5","14","18","21","21","19","28","19","28","21","19","18","14","21","10","14","17","19","26","22","20","20","26","15","18","21","30","24","14","17","16","25","16","14","17","19","31","22","24","16","15","20","16","18","20","16","20","16","15","21","16","22","16","14","19","28","10","19","20","24","23","22","18","20","17","18","17","18","17","12","18","13","15","10","15","15","27","22","12","23","22","25","14","16","21","13","24","23","18","16","13","25","18","21","16","9","19","22","14","14","23","18","21","15","25","18","15","13","20","18","17","21","16","26","25","22","18","15","24","22","23","16","23","14","19","13","16","16","13","14","20","19","26","21","20","19","23","17","28","16","21","13","12"
"6","Thursday","10","6","20","20","20","11","24","22","20","9","24","18","19","20","19","22","21","20","19","14","22","15","13","14","11","16","18","17","14","21","15","20","30","14","18","18","22","22","30","14","20","11","8","32","19","18","25","19","17","21","22","22","20","19","23","11","24","23","13","21","14","14","25","21","21","12","13","17","20","14","17","25","21","7","18","18","23","24","17","17","23","21","25","21","13","21","14","28","32","20","24","10","30","19","19","20","21","12","22","14","18","18","20","19","17","21","23","17","13","18","23","8","12","27","24","26","15","25","18","19","21","19","16","7","23","9","20","24","20","28","17","20","14","22","15","19","23","15","11","11","11","19","12","18"
"7","Thursday","11","1","25","26","14","9","29","20","13","21","30","23","9","26","12","17","16","22","17","15","15","22","20","15","15","26","19","10","20","26","24","19","22","30","22","16","22","19","24","22","21","22","18","14","19","18","3","17","13","27","26","16","19","13","33","21","32","23","18","13","19","18","21","14","25","20","25","21","30","20","19","26","21","29","22","26","8","14","19","22","23","14","16","22","19","13","14","17","11","23","18","11","18","26","19","24","11","27","19","21","18","20","15","25","21","28","30","17","20","17","11","19","14","19","22","26","23","15","19","25","28","19","19","22","21","19","24","22","19","27","15","22","22","25","27","20","17","22","18","14","23","23","12","25"
"8","Thursday","11","2","15","16","31","21","23","22","30","25","14","23","18","28","27","16","18","22","20","16","20","23","16","24","14","16","23","15","19","16","20","15","16","18","27","23","23","21","17","17","19","25","23","26","20","17","17","21","20","12","21","20","23","14","22","22","17","29","18","19","24","22","18","22","17","6","18","22","23","28","19","26","20","33","13","15","21","18","12","13","23","24","29","22","27","21","20","15","18","17","33","13","16","22","29","18","20","22","18","23","31","21","22","31","18","11","13","24","26","19","14","22","12","23","25","23","14","18","23","23","1","20","8","27","23","13","19","18","13","20","20","20","25","31","15","19","17","17","17","15","23","14","17","22"
"9","Thursday","11","3","25","17","26","17","21","22","16","13","25","23","14","13","16","22","15","24","20","15","18","17","14","13","20","18","25","16","21","15","13","24","14","34","22","15","20","17","23","15","25","13","21","29","17","21","19","12","14","10","21","24","19","21","16","23","23","21","22","19","11","22","7","16","15","20","24","15","19","22","16","25","19","24","12","19","24","25","13","12","9","24","19","25","17","20","22","20","14","15","21","20","24","14","16","21","20","15","18","13","15","26","20","25","22","22","15","16","18","18","30","24","17","18","15","16","20","14","14","11","13","24","19","32","20","26","18","21","27","21","21","15","25","18","26","11","11","20","26","24","22","22","11","27"
"10","Thursday","11","4","16","22","9","21","24","17","22","9","14","23","24","15","21","25","20","22","18","24","22","19","12","19","15","21","21","16","10","23","12","21","33","12","24","17","12","21","18","20","15","14","22","24","23","23","19","26","23","21","23","20","20","23","14","18","5","13","21","26","23","22","23","25","24","24","23","17","22","24","18","12","18","17","19","27","26","25","30","24","19","18","22","27","22","22","19","12","10","30","13","21","22","16","17","15","26","24","14","19","15","25","21","20","17","32","17","8","22","22","7","15","23","11","16","16","15","9","19","26","0","23","23","14","15","23","9","15","20","21","25","23","11","9","19","15","16","16","9","19","24","16","21","12"
"11","Thursday","11","5","20","24","24","19","22","20","20","21","23","25","20","23","18","14","25","19","14","16","13","13","15","20","15","18","18","21","16","19","22","19","26","16","17","22","17","21","19","19","16","12","18","22","28","14","21","16","19","20","20","24","15","13","13","29","21","20","15","23","13","14","19","13","19","25","24","19","29","18","17","17","26","18","18","19","22","20","23","30","20","22","22","20","16","18","21","17","18","16","26","19","19","24","15","19","28","28","19","14","25","15","12","18","19","17","22","27","20","23","26","19","19","13","20","24","13","18","28","21","22","23","14","25","16","20","16","22","26","21","12","21","11","17","17","24","18","21","19","16","23","25","16","24"
"12","Thursday","11","6","15","18","19","27","13","20","20","17","18","19","13","22","14","16","19","18","13","20","14","15","21","20","13","21","12","20","16","26","20","29","18","16","19","20","19","17","21","15","20","24","20","23","20","18","23","20","27","18","15","21","20","27","16","19","24","19","24","29","20","11","15","25","18","20","15","22","28","15","21","21","25","10","24","11","9","25","26","19","18","8","17","23","15","17","15","20","33","25","17","16","21","28","17","18","28","18","19","16","26","16","21","19","21","11","17","15","24","24","27","24","19","21","13","16","23","18","23","22","13","24","28","14","24","16","17","13","24","21","22","24","27","18","21","15","13","31","14","25","23","23","16","21"
"13","Thursday","12","1","20","8","23","22","23","5","17","14","11","22","15","26","16","25","21","23","20","18","20","23","27","24","24","31","13","21","17","25","21","21","19","14","13","22","24","23","29","15","13","29","19","16","25","27","13","15","17","21","20","16","12","17","19","20","18","21","20","24","10","21","11","26","29","15","20","28","12","27","21","19","19","13","15","11","19","17","13","15","17","28","16","22","18","23","23","13","21","21","15","20","22","30","11","17","23","24","27","23","32","13","20","14","21","13","17","13","21","24","28","21","20","23","20","23","23","22","10","21","16","20","24","24","13","15","18","15","27","14","22","13","22","15","16","24","12","26","17","14","20","14","25","22"
"14","Thursday","12","2","22","20","12","16","25","20","14","19","12","16","20","23","19","25","13","23","15","11","16","19","17","23","21","22","18","21","14","19","16","22","20","24","23","18","16","18","14","18","17","24","15","19","23","22","24","15","14","22","20","22","12","19","11","17","22","22","19","22","18","16","14","18","14","19","18","23","21","25","20","15","14","19","26","17","18","23","18","19","23","12","19","21","13","19","26","13","26","8","15","29","13","15","19","26","22","29","12","10","25","14","21","17","14","18","23","17","21","18","28","23","20","16","10","25","22","22","13","12","22","16","12","26","24","20","18","16","19","26","20","16","14","13","31","20","32","23","17","20","33","14","19","17"
"15","Thursday","12","3","11","25","24","8","13","23","24","18","29","21","17","12","24","16","21","24","16","19","18","25","19","22","18","22","13","13","14","24","18","21","20","20","15","24","26","14","12","25","19","15","18","17","22","21","15","21","33","15","16","22","22","20","15","23","20","16","20","18","20","30","15","14","8","19","26","22","23","19","23","17","14","16","21","17","25","33","24","21","31","19","15","24","12","9","22","6","19","14","18","17","20","20","18","28","21","21","11","14","23","20","16","32","14","25","19","18","20","28","17","10","18","21","11","22","19","17","12","19","19","25","22","15","16","19","22","18","21","19","18","24","16","16","17","21","17","23","17","12","15","22","20","19"
"16","Thursday","12","4","7","21","21","17","25","16","21","17","23","22","21","25","19","13","14","11","25","13","20","19","17","24","25","21","24","9","22","20","10","23","19","16","6","26","18","10","31","14","12","19","21","19","16","27","21","16","14","24","19","30","12","22","11","11","16","22","7","18","25","15","12","15","19","21","17","17","18","24","20","18","19","21","23","18","25","25","20","8","24","23","21","22","14","8","27","19","18","22","14","25","18","15","22","24","11","24","14","12","19","24","27","22","24","15","22","26","12","20","15","23","12","10","22","24","11","21","27","22","21","15","23","20","16","21","32","20","12","15","22","23","17","21","15","24","25","22","25","20","16","15","17","12"
